日期,用电量
20190101,9060.001539690476
20190102,11864.331344464115
20190103,11864.331344464115
20190104,11888.10327035148
20190105,9083.77346557784
20190106,8380.82402117148
20190107,11787.687488704405
20190108,11864.331344464115
20190109,11864.331344464115
20190110,11864.331344464115
20190111,11888.10327035148
20190112,9083.77346557784
20190113,9083.77346557784
20190114,10548.97727353641
20190115,11864.331344464115
20190116,10406.694125555197
20190117,11172.421157103934
20190118,9747.094468091063
20190119,7198.957889810159
20190120,9083.77346557784
20190121,11787.687488704405
20190122,11864.331344464115
20190123,11864.331344464115
20190124,11864.331344464115
20190125,11888.10327035148
20190126,9083.77346557784
20190127,9083.77346557784
20190128,11787.687488704405
20190129,11864.331344464115
20190130,11864.331344464115
20190131,11864.331344464115
20190201,11888.10327035148
20190202,9083.77346557784
20190203,9083.77346557784
20190204,11787.687488704405
20190205,11864.331344464115
20190206,11864.331344464115
20190207,11864.331344464115
20190208,11888.10327035148
20190209,9083.77346557784
20190210,9083.77346557784
20190211,11787.687488704405
20190212,11094.726282091504
20190213,9677.407948773702
20190214,11172.421157103934
20190215,9747.094468091063
20190216,7198.957889810159
20190217,7688.913833811301
20190218,10330.050269795487
20190219,11176.299187927809
20190220,10406.694125555197
20190221,9829.508779510297
20190222,9869.85714215883
20190223,7417.884893551081
20190224,9083.77346557784
20190225,9764.620930563618
20190226,8886.324295053579
20190227,10625.62112929612
20190228,10558.794956291793
20190301,10411.3060579291
20190302,6778.652040272454
20190303,6731.560394727884
20190304,10181.594973386718
20190305,10823.668168378297
20190306,11144.435007772408
20190307,11296.535838509004
20190308,10909.042889284498
20190309,7833.702078762898
20190310,7833.702078762898
20190311,10119.57797149028
20190312,9303.298337876678
20190313,8266.129388360705
20190314,8418.2302190973
20190315,10247.449220379473
20190316,7833.702078762898
20190317,8323.658022764039
20190318,10283.434809039907
20190319,9183.706579401856
20190320,10360.078664799617
20190321,9455.399168613274
20190322,9324.316262301707
20190323,6778.652040272454
20190324,6751.290757983193
20190325,8779.03129075317
20190326,8509.52950528582
20190327,9024.522416455155
20190328,8418.2302190973
20190329,8287.147312785735
20190330,6732.937743158639
20190331,6232.765650458616
20190401,7553.541466044276
20190402,8765.96890829377
20190403,7841.272183996272
