日期,用电量,最高,最低,平均,节假日,周几,月份
20170510,4069.60254,29.0,18.0,23.5,1,3,5
20170511,9867.59961,32.0,18.0,25.0,1,4,5
20170512,9501.19922,30.0,18.0,24.0,1,5,5
20170513,5426.80078,29.0,18.0,23.5,0.5,6,5
20170514,5389.60157,27.0,18.0,22.5,0.5,7,5
20170515,9484.0,29.0,19.0,24.0,1,1,5
20170516,10089.20118,32.0,20.0,26.0,1,2,5
20170517,11320.40039,36.0,24.0,30.0,1,3,5
20170518,12110.40235,36.0,24.0,30.0,1,4,5
20170519,12679.20312,36.0,25.0,30.5,1,5,5
20170520,6583.99609,34.0,23.0,28.5,0.5,6,5
20170521,6351.19923,30.0,22.0,26.0,0.5,7,5
20170522,10676.80469,25.0,15.0,20.0,1,1,5
20170523,11132.00392,28.0,18.0,23.0,1,2,5
20170524,11645.60547,33.0,20.0,26.5,1,3,5
20170525,11703.59374,27.0,17.0,22.0,1,4,5
20170526,11600.40235,31.0,20.0,25.5,1,5,5
20170527,10905.60156,34.0,24.0,29.0,0.5,6,5
20170528,6947.20312,34.0,22.0,28.0,0.5,7,5
20170529,6468.40624,26.0,19.0,22.5,1,1,5
20170530,6283.20312,25.0,19.0,22.0,1,2,5
20170531,13271.60937,33.0,19.0,26.0,1,3,5
20170601,12197.20311,28.0,19.0,23.5,1,4,6
20170602,11356.39843,26.0,17.0,21.5,1,5,6
20170603,6724.39844,28.0,18.0,23.0,0.5,6,6
20170604,7150.40625,32.0,20.0,26.0,0.5,7,6
20170605,13100.0,30.0,16.0,23.0,1,1,6
20170606,11357.59375,20.0,16.0,18.0,1,2,6
20170607,11875.99219,30.0,22.0,26.0,1,3,6
20170608,12396.00001,34.0,23.0,28.5,1,4,6
20170609,12880.8125,37.0,25.0,31.0,1,5,6
20170610,7004.80468,27.0,20.0,23.5,0.5,6,6
20170611,7150.40625,30.0,18.0,24.0,0.5,7,6
20170612,13100.0,25.0,17.0,21.0,1,1,6
20170613,12455.19531,28.0,20.0,24.0,1,2,6
20170614,12707.20313,35.0,24.0,29.5,1,3,6
20170615,13147.1875,36.0,26.0,31.0,1,4,6
20170616,14121.60937,37.0,24.0,30.5,1,5,6
20170617,7788.00001,35.0,25.0,30.0,0.5,6,6
20170618,7674.80469,34.0,23.0,28.5,0.5,7,6
20170619,14939.99219,30.0,22.0,26.0,1,1,6
20170620,14353.60156,33.0,22.0,27.5,1,2,6
20170621,14835.58594,30.0,19.0,24.5,1,3,6
20170622,13358.81249,25.0,21.0,23.0,1,4,6
20170623,12009.58593,27.0,21.0,24.0,1,5,6
20170624,7281.60157,28.0,21.0,24.5,0.5,6,6
20170625,7144.00001,30.0,23.0,26.5,0.5,7,6
20170626,14567.20313,33.0,24.0,28.5,1,1,6
20170627,14430.78125,35.0,25.0,30.0,1,2,6
20170628,16399.99999,35.0,26.0,30.5,1,3,6
20170629,12886.40624,35.0,27.0,31.0,1,4,6
20170630,14594.8125,36.0,26.0,31.0,1,5,6
20170701,8242.0,36.0,27.0,31.5,0.5,6,7
20170702,8386.84375,35.0,25.0,30.0,0.5,7,7
20170703,17490.01562,33.0,25.0,29.0,1,1,7
20170704,15845.60937,30.0,24.0,27.0,1,2,7
20170705,17342.4375,33.0,26.0,29.5,1,3,7
20170706,16181.96875,29.0,23.0,26.0,1,4,7
20170707,16919.21875,34.0,26.0,30.0,1,5,7
20170708,9262.01564,36.0,28.0,32.0,0.5,6,7
20170709,9370.39062,36.0,28.0,32.0,0.5,7,7
20170710,16812.78127,34.0,26.0,30.0,1,1,7
20170711,17056.42187,37.0,28.0,32.5,1,2,7
20170712,18192.39062,39.0,28.0,33.5,1,3,7
20170713,19054.39063,37.0,28.0,32.5,1,4,7
20170714,17621.60938,35.0,25.0,30.0,1,5,7
20170715,8871.57812,30.0,23.0,26.5,0.5,6,7
20170716,9270.40625,35.0,27.0,31.0,0.5,7,7
20170717,15106.78125,33.0,26.0,29.5,1,1,7
20170718,13378.8125,34.0,26.0,30.0,1,2,7
20170719,18309.62499,33.0,27.0,30.0,1,3,7
20170720,18691.59375,36.0,25.0,30.5,1,4,7
20170721,15872.39062,28.0,24.0,26.0,1,5,7
20170722,8238.75,29.0,24.0,26.5,0.5,6,7
20170723,8305.5625,29.0,25.0,27.0,0.5,7,7
20170724,16159.64062,30.0,25.0,27.5,1,1,7
20170725,16356.79687,32.0,26.0,29.0,1,2,7
20170726,13549.98438,29.0,22.0,25.5,1,3,7
20170727,16284.84375,29.0,23.0,26.0,1,4,7
20170728,15550.40625,30.0,22.0,26.0,1,5,7
20170729,8058.42187,30.0,23.0,26.5,0.5,6,7
20170730,8220.0,32.0,24.0,28.0,0.5,7,7
20170731,13082.8125,32.0,25.0,28.5,1,1,7
20170801,13450.0,31.0,26.0,28.5,1,2,8
20170802,16957.17187,31.0,23.0,27.0,1,3,8
20170803,17641.23437,33.0,26.0,29.5,1,4,8
20170804,17966.375,36.0,28.0,32.0,1,5,8
20170805,9147.59375,35.0,26.0,30.5,0.5,6,8
20170806,8825.59375,34.0,26.0,30.0,0.5,7,8
20170807,18149.21875,35.0,27.0,31.0,1,1,8
20170808,17726.0,34.0,25.0,29.5,1,2,8
20170809,17424.375,29.0,23.0,26.0,1,3,8
20170810,17730.03125,34.0,26.0,30.0,1,4,8
20170811,15357.1875,34.0,23.0,28.5,1,5,8
20170812,7933.21875,32.0,23.0,27.5,0.5,6,8
20170813,7939.1875,30.0,22.0,26.0,0.5,7,8
20170814,16692.84375,30.0,22.0,26.0,1,1,8
20170815,16841.59375,32.0,24.0,28.0,1,2,8
20170816,16950.4375,31.0,22.0,26.5,1,3,8
20170817,15085.1875,29.0,23.0,26.0,1,4,8
20170818,15707.59375,30.0,23.0,26.5,1,5,8
20170819,8185.59375,29.0,23.0,26.0,0.5,6,8
20170820,8157.65625,31.0,23.0,27.0,0.5,7,8
20170821,16342.8125,32.0,25.0,28.5,1,1,8
20170822,15228.0,31.0,24.0,27.5,1,2,8
20170823,15121.15625,30.0,24.0,27.0,1,3,8
20170824,15566.0625,33.0,23.0,28.0,1,4,8
20170825,14577.1875,32.0,22.0,27.0,1,5,8
20170826,7813.125,30.0,22.0,26.0,0.5,6,8
20170827,6814.0625,23.0,18.0,20.5,0.5,7,8
20170828,13734.78125,26.0,18.0,22.0,1,1,8
20170829,12702.0,28.0,19.0,23.5,1,2,8
20170830,13075.59375,29.0,20.0,24.5,1,3,8
20170831,12888.09375,29.0,20.0,24.5,1,4,8
20170901,12475.125,27.0,20.0,23.5,1,5,9
20170902,7906.8125,29.0,21.0,25.0,0.5,6,9
20170903,7463.21875,29.0,21.0,25.0,0.5,7,9
20170904,12859.09375,28.0,23.0,25.5,1,1,9
20170905,12792.40625,30.0,23.0,26.5,1,2,9
20170906,12784.34375,32.0,22.0,27.0,1,3,9
20170907,13756.0,31.0,23.0,27.0,1,4,9
20170908,13921.25,33.0,24.0,28.5,1,5,9
20170909,8196.8125,32.0,25.0,28.5,0.5,6,9
20170910,7882.375,27.0,21.0,24.0,0.5,7,9
20170911,12996.375,29.0,19.0,24.0,1,1,9
20170912,12789.25,30.0,22.0,26.0,1,2,9
20170913,13769.5625,32.0,22.0,27.0,1,3,9
20170914,13728.03125,31.0,23.0,27.0,1,4,9
20170915,12619.625,30.0,22.0,26.0,1,5,9
20170916,7577.21875,29.0,21.0,25.0,0.5,6,9
20170917,7073.59375,29.0,17.0,23.0,0.5,7,9
20170918,12684.0,31.0,23.0,27.0,1,1,9
20170919,12984.0625,31.0,17.0,24.0,1,2,9
20170920,11935.96875,30.0,20.0,25.0,1,3,9
20170921,10162.84375,30.0,19.0,24.5,1,4,9
20170922,9833.59375,28.0,19.0,23.5,1,5,9
20170923,7321.96875,29.0,23.0,26.0,0.5,6,9
20170924,7475.53125,28.0,23.0,25.5,0.5,7,9
20170925,10658.46875,30.0,22.0,26.0,1,1,9
20170926,9954.34375,26.0,16.0,21.0,1,2,9
20170927,8957.3125,23.0,15.0,19.0,1,3,9
20170928,8762.03125,23.0,14.0,18.5,1,4,9
20170929,8374.9375,26.0,16.0,21.0,1,5,9
20170930,7635.125,27.0,20.0,23.5,0.5,6,9
20171001,5723.21875,27.0,18.0,22.5,0.5,7,10
20171002,5267.15625,18.0,14.0,16.0,1,1,10
20171003,5025.5625,20.0,13.0,16.5,1,2,10
20171004,4692.84375,21.0,11.0,16.0,1,3,10
20171005,5094.84375,21.0,13.0,17.0,1,4,10
20171006,5258.875,23.0,14.0,18.5,1,5,10
20171007,4990.0,18.0,15.0,16.5,0.5,6,10
20171008,5338.9375,17.0,14.0,15.5,0.5,7,10
20171009,7780.4375,15.0,9.0,12.0,1,1,10
20171010,7961.625,10.0,6.0,8.0,1,2,10
20171011,8106.40625,16.0,9.0,12.5,1,3,10
20171012,7590.375,17.0,8.0,12.5,1,4,10
20171013,6241.96875,19.0,11.0,15.0,1,5,10
20171014,6101.53125,18.0,11.0,14.5,0.5,6,10
20171015,5892.34375,18.0,12.0,15.0,0.5,7,10
20171016,7858.8125,17.0,9.0,13.0,1,1,10
20171017,8044.375,17.0,14.0,15.5,1,2,10
20171018,8483.1875,15.0,12.0,13.5,1,3,10
20171019,8131.21875,18.0,10.0,14.0,1,4,10
20171020,8071.53125,22.0,11.0,16.5,1,5,10
20171021,6165.625,18.0,12.0,15.0,0.5,6,10
20171022,5847.59375,15.0,9.0,12.0,0.5,7,10
20171023,7952.78125,17.0,6.0,11.5,1,1,10
