日期,用电量,最高,最低,平均,节假日,周几,月份
20190101,,4.0,-3.0,0.5,0.5,2,1
20190102,,1.0,-3.0,-1.0,1,3,1
20190103,,0.0,-3.0,-1.5,1,4,1
20190104,,-1.0,-3.0,-2.0,1,5,1
20190105,,3.0,-3.0,0.0,0.5,6,1
20190106,,4.0,-1.0,1.5,0.5,7,1
20190107,,2.0,-4.0,-1.0,1,1,1
20190108,,1.0,-4.0,-1.5,1,2,1
20190109,,2.0,-5.0,-1.5,1,3,1
20190110,,-1.0,-8.0,-4.5,1,4,1
20190111,,-2.0,-6.0,-4.0,1,5,1
20190112,,4.0,-3.0,0.5,0.5,6,1
20190113,,4.0,-4.0,0.0,0.5,7,1
20190114,,6.0,-1.0,2.5,1,1,1
20190115,,3.0,-2.0,0.5,1,2,1
20190116,,5.0,-3.0,1.0,1,3,1
20190117,,5.0,-4.0,0.5,1,4,1
20190118,,7.0,-4.0,1.5,1,5,1
20190119,,7.0,-4.0,1.5,0.5,6,1
20190120,,4.0,-4.0,0.0,0.5,7,1
20190121,,3.0,-4.0,-0.5,1,1,1
20190122,,-6.0,-11.0,-8.5,1,2,1
20190123,,-6.0,-12.0,-9.0,1,3,1
20190124,,-4.0,-11.0,-7.5,1,4,1
20190125,,-5.0,-10.0,-7.5,1,5,1
20190126,,-3.0,-8.0,-5.5,0.5,6,1
20190127,,-4.0,-7.0,-5.5,0.5,7,1
20190128,,-3.0,-9.0,-6.0,1,1,1
20190129,,0.0,-7.0,-3.5,1,2,1
20190130,,3.0,-6.0,-1.5,1,3,1
20190131,,4.0,-5.0,-0.5,1,4,1
20190201,,4.0,-7.0,-1.5,1,5,2
20190202,,-1.0,-8.0,-4.5,0.5,6,2
20190203,,0.0,-8.0,-4.0,0.5,7,2
20190204,,2.0,-6.0,-2.0,1,1,2
20190205,,0.0,-8.0,-4.0,1,2,2
20190206,,2.0,-6.0,-2.0,1,3,2
20190207,,1.0,-7.0,-3.0,1,4,2
20190208,,3.0,-5.0,-1.0,1,5,2
20190209,,3.0,-6.0,-1.5,0.5,6,2
20190210,,1.0,-7.0,-3.0,0.5,7,2
20190211,,-1.0,-7.0,-4.0,1,1,2
20190212,,5.0,-4.0,0.5,1,2,2
20190213,,9.0,-2.0,3.5,1,3,2
20190214,,5.0,-4.0,0.5,1,4,2
20190215,,7.0,-3.0,2.0,1,5,2
20190216,,7.0,-3.0,2.0,0.5,6,2
20190217,,5.0,-2.0,1.5,0.5,7,2
20190218,,6.0,-2.0,2.0,1,1,2
20190219,,4.0,-1.0,1.5,1,2,2
20190220,,5.0,-2.0,1.5,1,3,2
20190221,,9.0,-1.0,4.0,1,4,2
20190222,,10.0,0.0,5.0,1,5,2
20190223,,12.0,-1.0,5.5,0.5,6,2
20190224,,4.0,-3.0,0.5,0.5,7,2
20190225,,7.0,-2.0,2.5,1,1,2
20190226,,13.0,1.0,7.0,1,2,2
20190227,,6.0,-1.0,2.5,1,3,2
20190228,,6.0,-2.0,2.0,1,4,2
20190301,,8.0,0.0,4.0,1,5,3
20190302,,13.0,2.0,7.5,0.5,6,3
20190303,,12.0,3.0,7.5,0.5,7,3
