日期,用电量
20181016,8381.009180276347
20181017,6141.516119352246
20181018,8458.608575581156
20181019,7701.550711631455
20181020,5181.607126034428
20181021,6139.230428787797
20181022,7998.734590609491
20181023,8242.678286946166
20181024,7764.882737935397
20181025,7599.599299607728
20181026,7329.698061498246
20181027,6489.424994782268
20181028,6053.606345002924
20181029,8264.948725410422
20181030,8135.261874530138
20181031,8065.35256431933
20181101,8174.477182459011
20181102,7820.082897077484
20181103,6339.824656010526
20181104,6036.808935015279
20181105,8567.523477450708
20181106,8697.205542713968
20181107,8463.89346635856
20181108,8571.907687050978
20181109,8307.19483972894
20181110,6364.706957941288
20181111,6491.983107561246
20181112,8825.229499565374
20181113,9589.074621577389
20181114,11595.63707947859
20181115,11413.723599936056
20181116,10721.516467243066
20181117,8646.241239847524
20181118,8427.500668805185
20181119,11463.27178545374
20181120,11599.4315240564
20181121,11350.11556764559
20181122,11312.778054432147
20181123,11132.12798555526
20181124,8637.606183936163
20181125,8167.8688368278135
20181126,11676.538668549947
20181127,11693.536869395937
20181128,11491.527906803905
20181129,11850.994558916076
20181130,11672.99403093926
20181201,9095.214386113217
20181202,8981.362990973985
20181203,11863.26092339358
20181204,12173.032697520264
20181205,11784.694254285338
20181206,11418.098669149515
20181207,11745.102392593484
20181208,9029.94577149973
20181209,8907.005256119519
20181210,11515.42720500356
20181211,12173.032697520264
20181212,12174.40537020356
20181213,12082.215400112276
20181214,11987.292593338936
20181215,9246.269294015076
20181216,8973.045290478973
20181217,11638.376830699195
20181218,11690.129345445523
20181219,11930.35271216808
20181220,11524.911116509233
20181221,11351.933561433641
20181222,8906.26746651854
20181223,8949.273756601793
20181224,11521.407946949346
20181225,11645.69728166506
20181226,12174.40537020356
20181227,11879.873288205343
20181228,11812.190341381014
20181229,9037.151454849753
20181230,8895.161789726626
20181231,11924.169820156465
