data,yl,max,min,mean,holidays,weekday,month
20180829,14556,31.0,24.0,27.5,1,3,8
20180830,14159,25.0,21.0,23.0,1,4,8
20180831,14530,31.0,22.0,26.5,1,5,8
20180901,8624,30.0,22.0,26.0,0.5,6,9
20180902,8205,26.0,22.0,24.0,0.5,7,9
20180903,13455,31.0,23.0,27.0,1,1,9
20180904,12487,31.0,21.0,26.0,1,2,9
20180905,13177,34.0,23.0,28.5,1,3,9
20180906,12292,29.0,21.0,25.0,1,4,9
20180907,9531,29.0,19.0,24.0,1,5,9
20180908,7576,27.0,18.0,22.5,0.5,6,9
20180909,7201,29.0,19.0,24.0,0.5,7,9
20180910,10458,30.0,21.0,25.5,1,1,9
20180911,11137,29.0,20.0,24.5,1,2,9
20180912,11886,29.0,21.0,25.0,1,3,9
20180913,12317,29.0,23.0,26.0,1,4,9
20180914,12232,29.0,23.0,26.0,1,5,9
20180915,6167,25.0,19.0,22.0,0.5,6,9
20180916,7387,26.0,16.0,21.0,0.5,7,9
20180917,9546,29.0,19.0,24.0,1,1,9
20180918,9771,25.0,19.0,22.0,1,2,9
20180919,9825,23.0,19.0,21.0,1,3,9
20180920,9912,24.0,17.0,20.5,1,4,9
20180921,9336,28.0,14.0,21.0,1,5,9
20180922,6928,26.0,13.0,19.5,0.5,6,9
20180923,6366,24.0,15.0,19.5,0.5,7,9
20180924,5823,24.0,14.0,19.0,1,1,9
20180925,8817,23.0,16.0,19.5,1,2,9
20180926,9229,24.0,15.0,19.5,1,3,9
20180927,8972,24.0,15.0,19.5,1,4,9
20180928,9028,25.0,13.0,19.0,1,5,9
20180929,8615,22.0,10.0,16.0,0.5,6,9
20180930,7485,22.0,11.0,16.5,0.5,7,9
20181001,5257,26.0,16.0,21.0,0.5,1,10
20181002,5261,26.0,12.0,19.0,1,2,10
20181003,5163,27.0,14.0,20.5,1,3,10
