日期,用电量,最高,最低,平均,节假日,周几,月份
20180726,,34,24,29,1,4,7
20180727,,32,23,27.5,1,5,7
20180728,,33,24,28.5,0.5,6,7
20180729,,33,25,29,0.5,7,7
20180730,,34,25,29.5,1,1,7
20180731,,34,26,30,1,2,7
20180801,,35,26,30.5,1,3,8
20180802,,34,26,30,1,4,8
20180803,,35,26,30.5,1,5,8
20180804,,35,26,30.5,0.5,6,8
20180805,,34,27,30.5,0.5,7,8
20180806,,34,25,29.5,1,1,8
20180807,,33,23,28,1,2,8
20180808,,31,22,26.5,1,3,8
20180809,,30,21,25.5,1,4,8
20180810,,31,21,26,1,5,8
20180811,,31,22,26.5,0.5,6,8
20180812,,30,23,26.5,0.5,7,8
20180813,,27,20,23.5,1,1,8
20180814,,27,20,23.5,1,2,8
20180815,,28,20,24,1,3,8
20180816,,28,21,24.5,1,4,8
20180817,,28,21,24.5,1,5,8
20180818,,30,20,25,0.5,6,8
20180819,,33,20,26.5,0.5,7,8
20180820,,33,21,27,1,1,8
20180821,,32,21,26.5,1,2,8
20180822,,31,20,25.5,1,3,8
20180823,,29,18,23.5,1,4,8
20180824,,32,29,30.5,1,5,8
20180825,,32,19,25.5,0.5,6,8
20180826,,29,19,24,0.5,7,8
20180827,,27,17,22,1,1,8
20180828,,28,17,22.5,1,2,8
20180829,,26,16,21,1,3,8
20180830,,27,19,23,1,4,8
20180831,,26,20,23,1,5,8
20180901,,27,19,23,0.5,6,9
20180902,,27,19,23,0.5,7,9
20180903,,29,19,24,1,1,9
20180904,,29,20,24.5,1,2,9
20180905,,30,18,24,1,3,9
20180906,,31,17,24,1,4,9
20180907,,31,18,24.5,1,5,9
20180908,,31,20,25.5,0.5,6,9
20180909,,29,22,25.5,0.5,7,9
20180910,,27,19,23,1,1,9
20180911,,27,21,24,1,2,9
20180912,,28,20,24,1,3,9
20180913,,27,19,23,1,4,9
20180914,,27,19,23,1,5,9
20180915,,26,19,22.5,0.5,6,9
20180916,,26,19,22.5,0.5,7,9
20180917,,26,19,22.5,1,1,9
20180918,,26,19,22.5,1,2,9
20180919,,26,19,22.5,1,3,9
20180920,,26,19,22.5,1,4,9
20180921,,25,14,19.5,1,5,9
20180922,,25,13,19,0.5,6,9
20180923,,25,13,19,0.5,7,9
20180924,,25,13,19,0.5,1,9
20180925,,24,13,18.5,1,2,9
20180926,,24,12,18,1,3,9
20180927,,24,12,18,1,4,9
20180928,,24,12,18,1,5,9
20180929,,24,12,18,1,6,9
20180930,,23,11,17,1,7,9
20181001,,23,11,17,0.5,1,10
20181002,,23,11,17,0.5,2,10
20181003,,23,11,17,0.5,3,10
20181004,,22,11,16.5,0.5,4,10
20181005,,22,10,16,0.5,5,10
20181006,,22,10,16,0.5,6,10
20181007,,22,10,16,0.5,7,10
20181008,,21,10,15.5,1,1,10
20181009,,21,9,15,1,2,10
20181010,,21,9,15,1,3,10
20181011,,21,9,15,1,4,10
20181012,,20,9,14.5,1,5,10
20181013,,20,8,14,0.5,6,10
20181014,,20,8,14,0.5,7,10
20181015,,20,8,14,1,1,10
20181016,,19,8,13.5,1,2,10
20181017,,19,7,13,1,3,10
